0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:19 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/easing.js HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:19 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/images/logo2.png HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:19 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/active.js HTTP/1.1" 200 8646
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:19 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/images/payments.png HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/index.jsp HTTP/1.1" 200 35027
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/tyle.css HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/jquery.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/jquery-migrate-3.0.0.js HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/jquery-ui.min.js HTTP/1.1" 200 30936
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/popper.min.js HTTP/1.1" 200 19241
0:0:0:0:0:0:0:1 - - [21/Oct/2022:16:19:22 +0200] "GET /TIENDA_CARLOS_PICADO_ESTEBAN/assets/js/bootstrap.min.js HTTP/1.1" 200 93064
